,classifier,balance_method,accuracy,selector_method,k
0,Beyesian,SMOTE,0.6612178177360033,Recursive,1
1,Beyesian,SMOTE,0.6666666666666666,Recursive,2
2,Beyesian,SMOTE,0.6666666666666666,Recursive,3
3,Beyesian,SMOTE,0.6666666666666666,Recursive,4
4,Beyesian,SMOTE,0.6666666666666666,Recursive,5
5,Beyesian,SMOTE,0.6666666666666666,Recursive,6
6,Beyesian,SMOTE,0.6666666666666666,Recursive,7
7,Beyesian,SMOTE,0.6666666666666666,Recursive,8
8,Beyesian,SMOTE,0.6666666666666666,Recursive,9
9,Beyesian,SMOTE,0.6666666666666666,Recursive,10
10,Beyesian,SMOTE,0.6666666666666666,Recursive,11
11,Beyesian,SMOTE,0.6666666666666666,Recursive,12
12,Beyesian,SMOTE,0.6666666666666666,Recursive,13
13,Beyesian,SMOTE,0.6666666666666666,Recursive,14
14,DecisionTree,Undersampling,0.5846153846153848,Recursive,1
15,DecisionTree,Undersampling,0.5916666666666666,Recursive,2
16,DecisionTree,Undersampling,0.5843621399176955,Recursive,3
17,DecisionTree,Undersampling,0.5974025974025975,Recursive,4
18,DecisionTree,Undersampling,0.6493506493506493,Recursive,5
19,DecisionTree,Undersampling,0.6787330316742082,Recursive,6
20,DecisionTree,Undersampling,0.6367713004484306,Recursive,7
21,DecisionTree,Undersampling,0.6694915254237288,Recursive,8
22,DecisionTree,Undersampling,0.7242798353909465,Recursive,9
23,DecisionTree,Undersampling,0.6835443037974683,Recursive,10
24,DecisionTree,Undersampling,0.6695278969957081,Recursive,11
25,DecisionTree,Undersampling,0.7148936170212765,Recursive,12
26,DecisionTree,Undersampling,0.7685589519650655,Recursive,13
27,DecisionTree,Undersampling,0.7391304347826085,Recursive,14
28,KNN,Undersampling,0.5738396624472574,Recursive,1
29,KNN,Undersampling,0.6297872340425532,Recursive,2
30,KNN,Undersampling,0.7044534412955465,Recursive,3
31,KNN,Undersampling,0.6986899563318777,Recursive,4
32,KNN,Undersampling,0.7652173913043478,Recursive,5
33,KNN,Undersampling,0.7705627705627706,Recursive,6
34,KNN,Undersampling,0.782608695652174,Recursive,7
35,KNN,Undersampling,0.7892376681614348,Recursive,8
36,KNN,Undersampling,0.8392857142857143,Recursive,9
37,KNN,Undersampling,0.8738738738738738,Recursive,10
38,KNN,Undersampling,0.8968609865470852,Recursive,11
39,KNN,Undersampling,0.8859649122807017,Recursive,12
40,KNN,Undersampling,0.9155555555555557,Recursive,13
41,KNN,Undersampling,0.9391304347826087,Recursive,14
45,Beyesian,SMOTE,0.3869499241274658,Lasso,1
46,Beyesian,SMOTE,0.39969947407963935,Lasso,2
47,Beyesian,SMOTE,0.3818181818181819,Lasso,3
48,Beyesian,SMOTE,0.35276305828917487,Lasso,4
49,Beyesian,SMOTE,0.35276305828917487,Lasso,5
50,Beyesian,SMOTE,0.35276305828917487,Lasso,6
51,Beyesian,SMOTE,0.35276305828917487,Lasso,7
52,Beyesian,SMOTE,0.35276305828917487,Lasso,8
53,Beyesian,SMOTE,0.35276305828917487,Lasso,9
54,Beyesian,SMOTE,0.35276305828917487,Lasso,10
55,Beyesian,SMOTE,0.35276305828917487,Lasso,11
56,Beyesian,SMOTE,0.35276305828917487,Lasso,12
57,Beyesian,SMOTE,0.35276305828917487,Lasso,13
58,Beyesian,SMOTE,0.35276305828917487,Lasso,14
59,DecisionTree,Undersampling,0.5517241379310345,Lasso,1
60,DecisionTree,Undersampling,0.6016260162601625,Lasso,2
61,DecisionTree,Undersampling,0.5063291139240507,Lasso,3
62,DecisionTree,Undersampling,0.5095057034220533,Lasso,4
63,DecisionTree,Undersampling,0.5668016194331984,Lasso,5
64,DecisionTree,Undersampling,0.5021645021645021,Lasso,6
65,DecisionTree,Undersampling,0.6328125,Lasso,7
66,DecisionTree,Undersampling,0.6363636363636365,Lasso,8
67,DecisionTree,Undersampling,0.6879432624113475,Lasso,9
68,DecisionTree,Undersampling,0.6277372262773723,Lasso,10
69,DecisionTree,Undersampling,0.5846153846153848,Lasso,11
70,DecisionTree,Undersampling,0.5191489361702127,Lasso,12
71,DecisionTree,Undersampling,0.5559845559845561,Lasso,13
72,DecisionTree,Undersampling,0.6212121212121211,Lasso,14
73,KNN,Undersampling,0.5573770491803278,Lasso,1
74,KNN,Undersampling,0.4909090909090909,Lasso,2
75,KNN,Undersampling,0.5702127659574469,Lasso,3
76,KNN,Undersampling,0.5702127659574469,Lasso,4
77,KNN,Undersampling,0.5702127659574469,Lasso,5
78,KNN,Undersampling,0.5702127659574469,Lasso,6
79,KNN,Undersampling,0.5702127659574469,Lasso,7
80,KNN,Undersampling,0.5702127659574469,Lasso,8
81,KNN,Undersampling,0.5702127659574469,Lasso,9
82,KNN,Undersampling,0.5702127659574469,Lasso,10
83,KNN,Undersampling,0.5702127659574469,Lasso,11
84,KNN,Undersampling,0.5702127659574469,Lasso,12
85,KNN,Undersampling,0.5702127659574469,Lasso,13
86,KNN,Undersampling,0.5702127659574469,Lasso,14
87,Beyesian,SMOTE,0.3307453416149069,Pearson,1
88,Beyesian,SMOTE,0.3380952380952381,Pearson,2
89,Beyesian,SMOTE,0.36449332285938724,Pearson,3
90,Beyesian,SMOTE,0.3842662632375189,Pearson,4
91,Beyesian,SMOTE,0.389261744966443,Pearson,5
92,Beyesian,SMOTE,0.3812360387192852,Pearson,6
93,Beyesian,SMOTE,0.37769516728624536,Pearson,7
94,Beyesian,SMOTE,0.3723325974981604,Pearson,8
95,Beyesian,SMOTE,0.37102734663710274,Pearson,9
96,Beyesian,SMOTE,0.6617526617526618,Pearson,10
97,Beyesian,SMOTE,0.6661283811061769,Pearson,11
98,Beyesian,SMOTE,0.6661283811061769,Pearson,12
99,Beyesian,SMOTE,0.6666666666666666,Pearson,13
100,Beyesian,SMOTE,0.6666666666666666,Pearson,14
101,DecisionTree,Undersampling,0.6206896551724138,Pearson,1
102,DecisionTree,Undersampling,0.585185185185185,Pearson,2
103,DecisionTree,Undersampling,0.39534883720930236,Pearson,3
104,DecisionTree,Undersampling,0.5957446808510638,Pearson,4
105,DecisionTree,Undersampling,0.6505190311418685,Pearson,5
106,DecisionTree,Undersampling,0.5703125,Pearson,6
107,DecisionTree,Undersampling,0.6518518518518518,Pearson,7
108,DecisionTree,Undersampling,0.5794392523364487,Pearson,8
109,DecisionTree,Undersampling,0.673758865248227,Pearson,9
110,DecisionTree,Undersampling,0.5761316872427984,Pearson,10
111,DecisionTree,Undersampling,0.5569620253164557,Pearson,11
112,DecisionTree,Undersampling,0.5982905982905983,Pearson,12
113,DecisionTree,Undersampling,0.6096654275092936,Pearson,13
114,DecisionTree,Undersampling,0.6541353383458646,Pearson,14
115,KNN,Undersampling,0.5726495726495726,Pearson,1
116,KNN,Undersampling,0.579185520361991,Pearson,2
117,KNN,Undersampling,0.6200873362445415,Pearson,3
118,KNN,Undersampling,0.6752136752136753,Pearson,4
119,KNN,Undersampling,0.6986899563318777,Pearson,5
120,KNN,Undersampling,0.7058823529411764,Pearson,6
121,KNN,Undersampling,0.7123287671232875,Pearson,7
122,KNN,Undersampling,0.7090909090909091,Pearson,8
123,KNN,Undersampling,0.7488986784140969,Pearson,9
124,KNN,Undersampling,0.8141592920353983,Pearson,10
125,KNN,Undersampling,0.8125,Pearson,11
126,KNN,Undersampling,0.8202764976958524,Pearson,12
127,KNN,Undersampling,0.8687782805429864,Pearson,13
128,KNN,Undersampling,0.8858447488584474,Pearson,14
